Bar [id=1, date=2001/09/17, o=31.25, h=32.8, l=31.09, c=31.2] 31.20
Bar [id=2, date=2001/09/18, o=31.53, h=32.5, l=30.37, c=30.5] 30.85
Bar [id=3, date=2001/09/19, o=30.64, h=31.0, l=28.26, c=29.97] 30.56
Bar [id=4, date=2001/09/20, o=29.3, h=30.09, l=28.8, c=28.97] 30.16
Bar [id=5, date=2001/09/21, o=27.41, h=28.97, l=27.2, c=28.19] 29.77
Bar [id=6, date=2001/09/24, o=29.08, h=30.0, l=28.59, c=29.61] 29.74
Bar [id=7, date=2001/09/25, o=29.71, h=30.43, l=28.95, c=29.7] 29.73
Bar [id=8, date=2001/09/26, o=29.95, h=30.0, l=28.41, c=28.67] 29.60
Bar [id=9, date=2001/09/27, o=28.4, h=28.79, l=27.42, c=28.48] 29.48
Bar [id=10, date=2001/09/28, o=28.84, h=29.92, l=28.31, c=28.98] 29.43
Bar [id=11, date=2001/10/01, o=28.85, h=28.98, l=27.85, c=28.73] 29.36
Bar [id=12, date=2001/10/02, o=28.65, h=29.41, l=28.4, c=28.82] 29.32
Bar [id=13, date=2001/10/03, o=28.429, h=31.61, l=28.33, c=31.0] 29.45
Bar [id=14, date=2001/10/04, o=31.65, h=33.2, l=30.94, c=31.3] 29.46
Bar [id=15, date=2001/10/05, o=31.0, h=31.9, l=30.26, c=31.76] 29.55
Bar [id=16, date=2001/10/08, o=31.13, h=32.35, l=30.96, c=31.86] 29.70
Bar [id=17, date=2001/10/09, o=31.86, h=32.02, l=30.87, c=31.09] 29.86
Bar [id=18, date=2001/10/10, o=30.871, h=32.54, l=30.751, c=32.5] 30.19
Bar [id=19, date=2001/10/11, o=33.192, h=35.25, l=33.14, c=34.7] 30.58
Bar [id=20, date=2001/10/12, o=34.33, h=34.8, l=33.14, c=34.55] 30.96
Bar [id=21, date=2001/10/15, o=34.12, h=34.55, l=33.66, c=34.4] 31.40
Bar [id=22, date=2001/10/16, o=34.669, h=35.1, l=34.07, c=34.96] 31.90
Bar [id=23, date=2001/10/17, o=35.87, h=36.0, l=32.3, c=32.45] 32.16
Bar [id=24, date=2001/10/18, o=32.7, h=33.54, l=32.4, c=33.33] 32.52
Bar [id=25, date=2001/10/19, o=32.869, h=33.75, l=32.0, c=33.55] 32.88
Bar [id=26, date=2001/10/22, o=33.44, h=34.5, l=33.22, c=34.45] 33.15
Bar [id=27, date=2001/10/23, o=34.822, h=35.401, l=34.0, c=34.63] 33.40
Bar [id=28, date=2001/10/24, o=34.6, h=35.68, l=34.32, c=35.38] 33.68
Bar [id=29, date=2001/10/25, o=34.705, h=36.82, l=34.23, c=36.8] 34.06
Bar [id=30, date=2001/10/26, o=36.5, h=37.06, l=36.01, c=36.01] 34.44
Bar [id=31, date=2001/10/29, o=36.0, h=36.158, l=34.04, c=34.04] 34.56
Bar [id=32, date=2001/10/30, o=33.71, h=34.09, l=32.84, c=33.38] 34.46
Bar [id=33, date=2001/10/31, o=34.04, h=34.96, l=33.68, c=33.9] 34.41
Bar [id=34, date=2001/11/01, o=34.44, h=35.563, l=33.782, c=35.34] 34.48
Bar [id=35, date=2001/11/02, o=35.271, h=35.85, l=34.89, c=35.6] 34.53
Bar [id=36, date=2001/11/05, o=36.26, h=37.16, l=36.16, c=36.76] 34.86
Bar [id=37, date=2001/11/06, o=36.609, h=38.2, l=36.39, c=38.19] 35.23
Bar [id=38, date=2001/11/07, o=37.61, h=38.84, l=37.5, c=38.14] 35.59
Bar [id=39, date=2001/11/08, o=38.551, h=39.4, l=37.25, c=37.75] 35.84
Bar [id=40, date=2001/11/09, o=37.598, h=38.08, l=37.12, c=37.73] 36.08
Bar [id=41, date=2001/11/12, o=37.0, h=38.35, l=36.3, c=38.0] 36.28
Bar [id=42, date=2001/11/13, o=39.03, h=39.5, l=38.63, c=39.36] 36.48
Bar [id=43, date=2001/11/14, o=39.96, h=40.24, l=38.74, c=39.64] 36.76
Bar [id=44, date=2001/11/15, o=39.162, h=40.11, l=38.95, c=39.48] 37.17
Bar [id=45, date=2001/11/16, o=39.48, h=39.68, l=38.92, c=39.37] 37.64
Bar [id=46, date=2001/11/19, o=39.79, h=40.49, l=39.49, c=40.49] 38.14
Bar [id=47, date=2001/11/20, o=40.08, h=40.23, l=38.48, c=38.62] 38.39
Bar [id=48, date=2001/11/21, o=38.47, h=38.95, l=37.98, c=38.64] 38.63
Bar [id=49, date=2001/11/23, o=38.76, h=39.43, l=38.57, c=39.28] 38.82
Bar [id=50, date=2001/11/26, o=39.58, h=40.36, l=39.01, c=40.25] 38.98
Bar [id=51, date=2001/11/27, o=40.05, h=40.97, l=39.2, c=40.2] 39.14
Bar [id=52, date=2001/11/28, o=39.73, h=40.37, l=38.69, c=38.75] 39.22
Bar [id=53, date=2001/11/29, o=39.035, h=40.0, l=36.74, c=39.95] 39.39
Bar [id=54, date=2001/11/30, o=39.73, h=40.04, l=39.36, c=39.65] 39.51
Bar [id=55, date=2001/12/03, o=39.29, h=39.6, l=38.87, c=38.97] 39.48
Bar [id=56, date=2001/12/04, o=39.34, h=40.84, l=38.44, c=40.83] 39.58
Bar [id=57, date=2001/12/05, o=41.208, h=43.15, l=41.12, c=42.85] 39.83
Bar [id=58, date=2001/12/06, o=42.709, h=43.24, l=42.36, c=42.91] 40.11
Bar [id=59, date=2001/12/07, o=42.488, h=42.6, l=41.14, c=41.73] 40.20
Bar [id=60, date=2001/12/10, o=41.325, h=42.23, l=40.88, c=41.0] 40.39
Bar [id=61, date=2001/12/11, o=41.46, h=42.26, l=41.13, c=41.23] 40.58
Bar [id=62, date=2001/12/12, o=41.5, h=41.94, l=40.6, c=41.56] 40.76
Bar [id=63, date=2001/12/13, o=40.71, h=49.93, l=39.76, c=39.76] 40.72
Bar [id=64, date=2001/12/14, o=39.872, h=40.46, l=39.57, c=40.11] 40.72
Bar [id=65, date=2001/12/17, o=40.02, h=41.24, l=40.02, c=40.8] 40.87
Bar [id=66, date=2001/12/18, o=41.16, h=41.5, l=40.16, c=41.26] 40.97
Bar [id=67, date=2001/12/19, o=40.56, h=41.32, l=40.32, c=40.51] 41.04
Bar [id=68, date=2001/12/20, o=40.1, h=40.3, l=38.68, c=38.79] 41.03
Bar [id=69, date=2001/12/21, o=39.422, h=39.71, l=39.15, c=39.48] 40.92
Bar [id=70, date=2001/12/24, o=39.54, h=39.63, l=39.15, c=39.32] 40.65
Bar [id=71, date=2001/12/26, o=39.374, h=40.3, l=39.16, c=39.69] 40.40
Bar [id=72, date=2001/12/27, o=39.85, h=40.202, l=39.6, c=40.01] 40.27
Bar [id=73, date=2001/12/28, o=40.292, h=40.802, l=40.23, c=40.33] 40.22
Bar [id=74, date=2001/12/31, o=40.31, h=40.45, l=38.91, c=38.91] 40.04
Bar [id=75, date=2002/01/02, o=39.57, h=40.15, l=38.93, c=40.11] 39.93
Bar [id=76, date=2002/01/03, o=40.31, h=41.55, l=40.26, c=41.5] 40.06
Bar [id=77, date=2002/01/04, o=41.95, h=42.29, l=40.93, c=41.67] 40.18
Bar [id=78, date=2002/01/07, o=42.118, h=42.22, l=40.11, c=41.21] 40.21
Bar [id=79, date=2002/01/08, o=41.108, h=41.77, l=40.84, c=41.49] 40.23
Bar [id=80, date=2002/01/09, o=42.04, h=42.6, l=40.9, c=41.11] 40.28
Bar [id=81, date=2002/01/10, o=41.174, h=41.54, l=40.68, c=41.38] 40.48
Bar [id=82, date=2002/01/11, o=41.357, h=41.6, l=40.47, c=40.85] 40.58
Bar [id=83, date=2002/01/14, o=40.49, h=40.68, l=39.7, c=39.96] 40.63
Bar [id=84, date=2002/01/15, o=40.036, h=40.75, l=39.56, c=40.34] 40.68
Bar [id=85, date=2002/01/16, o=39.538, h=39.94, l=38.77, c=38.78] 40.59
Bar [id=86, date=2002/01/17, o=39.48, h=39.977, l=39.01, c=39.65] 40.54
Bar [id=87, date=2002/01/18, o=38.83, h=39.45, l=38.22, c=38.59] 40.51
Bar [id=88, date=2002/01/22, o=39.0, h=39.02, l=37.33, c=37.4] 40.30
Bar [id=89, date=2002/01/23, o=37.65, h=38.69, l=37.35, c=38.43] 40.07
Bar [id=90, date=2002/01/24, o=38.94, h=39.514, l=38.35, c=38.94] 39.86
Bar [id=91, date=2002/01/25, o=38.472, h=39.15, l=38.36, c=38.83] 39.67
Bar [id=92, date=2002/01/28, o=39.154, h=39.39, l=38.42, c=39.05] 39.49
Bar [id=93, date=2002/01/29, o=39.132, h=39.408, l=37.515, c=37.98] 39.24
Bar [id=94, date=2002/01/30, o=38.001, h=38.85, l=36.85, c=38.27] 39.01
Bar [id=95, date=2002/01/31, o=38.578, h=38.75, l=38.02, c=38.51] 38.83
Bar [id=96, date=2002/02/01, o=38.401, h=38.88, l=37.7, c=38.14] 38.69
Bar [id=97, date=2002/02/04, o=37.961, h=38.07, l=36.61, c=36.92] 38.42
Bar [id=98, date=2002/02/05, o=36.59, h=37.33, l=36.19, c=36.31] 38.23
Bar [id=99, date=2002/02/06, o=36.84, h=36.89, l=35.7, c=36.06] 37.96
Bar [id=100, date=2002/02/07, o=35.996, h=36.55, l=35.0, c=35.19] 37.69
Bar [id=101, date=2002/02/08, o=35.46, h=36.24, l=34.97, c=36.17] 37.60
Bar [id=102, date=2002/02/11, o=36.14, h=39.17, l=35.98, c=36.63] 37.46
Bar [id=103, date=2002/02/12, o=36.312, h=36.98, l=36.04, c=36.33] 37.26
Bar [id=104, date=2002/02/13, o=36.722, h=37.15, l=36.61, c=36.95] 37.12
Bar [id=105, date=2002/02/14, o=37.15, h=37.57, l=36.6, c=36.88] 36.95
Bar [id=106, date=2002/02/15, o=36.838, h=36.91, l=35.64, c=35.78] 36.78
Bar [id=107, date=2002/02/19, o=35.375, h=35.46, l=34.32, c=34.68] 36.50
Bar [id=108, date=2002/02/20, o=34.908, h=35.17, l=33.93, c=35.15] 36.25
Bar [id=109, date=2002/02/21, o=34.79, h=34.95, l=33.48, c=33.48] 35.89
Bar [id=110, date=2002/02/22, o=33.619, h=34.2, l=33.09, c=33.65] 35.64
Bar [id=111, date=2002/02/25, o=34.008, h=35.25, l=33.955, c=35.01] 35.54
Bar [id=112, date=2002/02/26, o=35.232, h=35.43, l=34.37, c=34.88] 35.44
Bar [id=113, date=2002/02/27, o=35.397, h=35.51, l=34.06, c=34.4] 35.38
Bar [id=114, date=2002/02/28, o=34.514, h=34.97, l=33.75, c=33.78] 35.20
Bar [id=115, date=2002/03/01, o=34.154, h=35.75, l=34.09, c=35.74] 35.13
Bar [id=116, date=2002/03/04, o=35.702, h=37.23, l=32.74, c=37.15] 35.19
Bar [id=117, date=2002/03/05, o=36.938, h=37.87, l=36.81, c=37.42] 35.23
Bar [id=118, date=2002/03/06, o=37.08, h=37.95, l=36.6, c=37.6] 35.29
Bar [id=119, date=2002/03/07, o=38.12, h=38.33, l=37.01, c=37.68] 35.43
Bar [id=120, date=2002/03/08, o=38.231, h=39.03, l=38.13, c=38.67] 35.74
Bar [id=121, date=2002/03/11, o=38.35, h=39.19, l=38.06, c=38.53] 36.00
Bar [id=122, date=2002/03/12, o=37.579, h=38.0, l=37.32, c=38.0] 36.35
Bar [id=123, date=2002/03/13, o=37.41, h=37.66, l=36.0, c=37.08] 36.61
Bar [id=124, date=2002/03/14, o=37.069, h=37.4, l=36.72, c=36.86] 36.75
Bar [id=125, date=2002/03/15, o=36.899, h=37.33, l=36.596, c=37.23] 36.93
Bar [id=126, date=2002/03/18, o=37.635, h=37.94, l=37.05, c=37.44] 37.17
Bar [id=127, date=2002/03/19, o=37.609, h=37.88, l=37.22, c=37.38] 37.44
Bar [id=128, date=2002/03/20, o=36.879, h=37.08, l=36.04, c=36.06] 37.47
