Trade [id=1, price=53.57, qty=-1, dateTime=20110923-09:45:59]
Trade [id=2, price=53.609, qty=-1, dateTime=20110923-09:46:59]
Trade [id=3, price=53.665, qty=-1, dateTime=20110923-09:52:58]
Trade [id=4, price=53.66, qty=-1, dateTime=20110923-09:53:58]
Trade [id=5, price=53.75, qty=-1, dateTime=20110923-09:54:58]
Trade [id=6, price=53.82, qty=-1, dateTime=20110923-09:55:59]
Trade [id=7, price=53.8, qty=-1, dateTime=20110923-09:56:58]
Trade [id=8, price=53.68, qty=-1, dateTime=20110923-10:28:59]
Trade [id=9, price=53.68, qty=-1, dateTime=20110923-10:29:59]
Trade [id=10, price=53.73, qty=-1, dateTime=20110923-10:30:57]
Trade [id=11, price=53.78, qty=-1, dateTime=20110923-10:32:56]
Trade [id=12, price=53.79, qty=-1, dateTime=20110923-10:33:58]
Trade [id=13, price=53.81, qty=-1, dateTime=20110923-10:36:58]
Trade [id=14, price=53.9599, qty=-1, dateTime=20110923-10:49:59]
Trade [id=15, price=53.9899, qty=-1, dateTime=20110923-10:50:56]
Trade [id=16, price=53.9866, qty=-1, dateTime=20110923-10:51:55]
Trade [id=17, price=53.95, qty=-1, dateTime=20110923-10:52:58]
Trade [id=18, price=53.95, qty=-1, dateTime=20110923-10:53:59]
Trade [id=19, price=53.9614, qty=-1, dateTime=20110923-10:54:57]
Trade [id=20, price=53.97, qty=-1, dateTime=20110923-10:55:59]
Trade [id=21, price=53.97, qty=-1, dateTime=20110923-10:56:58]
Trade [id=22, price=54.05, qty=-1, dateTime=20110923-11:08:57]
Trade [id=23, price=54.1, qty=-1, dateTime=20110923-11:09:59]
Trade [id=24, price=54.07, qty=-1, dateTime=20110923-11:10:58]
Trade [id=25, price=54.07, qty=-1, dateTime=20110923-11:11:56]
Trade [id=26, price=54.1, qty=-1, dateTime=20110923-11:12:59]
Trade [id=27, price=54.13, qty=-1, dateTime=20110923-11:20:59]
Trade [id=28, price=54.21, qty=-1, dateTime=20110923-11:21:56]
Trade [id=29, price=54.21, qty=-1, dateTime=20110923-11:22:59]
Trade [id=30, price=54.21, qty=-1, dateTime=20110923-11:23:59]
Trade [id=31, price=54.21, qty=-1, dateTime=20110923-11:24:58]
Trade [id=32, price=53.95, qty=1, dateTime=20110923-11:35:58]
Trade [id=33, price=53.86, qty=1, dateTime=20110923-11:50:56]
Trade [id=34, price=53.84, qty=1, dateTime=20110923-11:51:58]
Trade [id=35, price=53.85, qty=1, dateTime=20110923-11:52:57]
Trade [id=36, price=54.119, qty=-1, dateTime=20110923-12:19:59]
Trade [id=37, price=53.91, qty=1, dateTime=20110923-12:28:56]
Trade [id=38, price=53.91, qty=1, dateTime=20110923-12:29:58]
Trade [id=39, price=53.91, qty=1, dateTime=20110923-12:30:54]
Trade [id=40, price=53.9, qty=1, dateTime=20110923-12:31:56]
Trade [id=41, price=53.86, qty=1, dateTime=20110923-12:38:59]
Trade [id=42, price=53.87, qty=1, dateTime=20110923-12:39:53]
Trade [id=43, price=53.81, qty=1, dateTime=20110923-12:40:59]
Trade [id=44, price=53.78, qty=1, dateTime=20110923-12:41:54]
Trade [id=45, price=53.74, qty=1, dateTime=20110923-12:42:58]
Trade [id=46, price=53.73, qty=1, dateTime=20110923-12:43:58]
Trade [id=47, price=53.72, qty=1, dateTime=20110923-12:44:59]
Trade [id=48, price=53.74, qty=1, dateTime=20110923-12:45:59]
Trade [id=49, price=54.0, qty=-1, dateTime=20110923-12:51:59]
Trade [id=50, price=54.03, qty=-1, dateTime=20110923-12:53:57]
Trade [id=51, price=53.97, qty=-1, dateTime=20110923-13:27:58]
Trade [id=52, price=54.09, qty=-1, dateTime=20110923-13:43:59]
Trade [id=53, price=54.16, qty=-1, dateTime=20110923-13:44:59]
Trade [id=54, price=54.16, qty=-1, dateTime=20110923-13:45:58]
Trade [id=55, price=54.2, qty=-1, dateTime=20110923-13:49:58]
Trade [id=56, price=54.205, qty=-1, dateTime=20110923-13:50:59]
Trade [id=57, price=54.23, qty=-1, dateTime=20110923-13:51:59]
Trade [id=58, price=54.26, qty=-1, dateTime=20110923-13:56:58]
Trade [id=59, price=54.291, qty=-1, dateTime=20110923-13:57:59]
Trade [id=60, price=54.28, qty=-1, dateTime=20110923-13:59:59]
Trade [id=61, price=54.37, qty=-1, dateTime=20110923-14:00:59]
Trade [id=62, price=54.36, qty=-1, dateTime=20110923-14:02:59]
Trade [id=63, price=54.38, qty=-1, dateTime=20110923-14:03:57]
Trade [id=64, price=54.09, qty=1, dateTime=20110923-14:14:59]
Trade [id=65, price=54.0, qty=1, dateTime=20110923-14:21:59]
Trade [id=66, price=53.9989, qty=1, dateTime=20110923-14:22:54]
Trade [id=67, price=53.99, qty=1, dateTime=20110923-14:24:50]
Trade [id=68, price=53.96, qty=1, dateTime=20110923-14:28:54]
Trade [id=69, price=53.94, qty=1, dateTime=20110923-14:47:56]
Trade [id=70, price=53.94, qty=1, dateTime=20110923-14:48:55]
Trade [id=71, price=53.94, qty=1, dateTime=20110923-14:49:56]
Trade [id=72, price=53.93, qty=1, dateTime=20110923-14:50:56]
Trade [id=73, price=53.93, qty=1, dateTime=20110923-14:51:58]
Trade [id=74, price=53.89, qty=1, dateTime=20110923-14:56:58]
Trade [id=75, price=54.225, qty=-1, dateTime=20110923-15:29:59]
Total pnL : -1137.7828999999995
