<< ============ All highLow points =====================================>>
Point [id=1, type=HIGH, dateTime=1980/01/02, price=55.98]
Point [id=2, type=LOW, dateTime=1980/01/02, price=55.83]
Point [id=4, type=LOW, dateTime=1980/01/05, price=55.76]
Point [id=5, type=LOW, dateTime=1980/01/08, price=55.7]
Point [id=3, type=HIGH, dateTime=1980/01/10, price=55.78]
Point [id=6, type=LOW, dateTime=1980/01/13, price=55.57]
Point [id=7, type=HIGH, dateTime=1980/01/17, price=55.79]
Point [id=8, type=LOW, dateTime=1980/01/21, price=55.62]
Point [id=9, type=HIGH, dateTime=1980/01/24, price=55.87]
Point [id=10, type=LOW, dateTime=1980/01/26, price=55.75]
Point [id=12, type=LOW, dateTime=1980/02/01, price=55.75]
Point [id=11, type=HIGH, dateTime=1980/02/02, price=55.95]
Point [id=13, type=LOW, dateTime=1980/02/04, price=55.86]
Point [id=14, type=HIGH, dateTime=1980/02/06, price=56.03]
Point [id=16, type=HIGH, dateTime=1980/02/12, price=55.95]
Point [id=15, type=LOW, dateTime=1980/02/12, price=55.87]
Point [id=18, type=LOW, dateTime=1980/02/14, price=55.84]
Point [id=17, type=HIGH, dateTime=1980/02/15, price=55.91]
Point [id=19, type=LOW, dateTime=1980/02/17, price=55.75]
Point [id=20, type=HIGH, dateTime=1980/02/20, price=55.85]
Point [id=22, type=HIGH, dateTime=1980/02/27, price=55.72]
Point [id=21, type=LOW, dateTime=1980/02/28, price=55.63]
Point [id=23, type=HIGH, dateTime=1980/03/01, price=55.73]
Point [id=24, type=LOW, dateTime=1980/03/05, price=55.56]
Point [id=25, type=HIGH, dateTime=1980/03/07, price=55.63]
Point [id=27, type=HIGH, dateTime=1980/03/10, price=55.56]
Point [id=26, type=LOW, dateTime=1980/03/10, price=55.48]
Point [id=28, type=HIGH, dateTime=1980/03/12, price=55.59]
Point [id=30, type=HIGH, dateTime=1980/03/16, price=55.64]
Point [id=29, type=LOW, dateTime=1980/03/17, price=55.56]
Point [id=31, type=HIGH, dateTime=1980/03/20, price=55.7]
Point [id=33, type=HIGH, dateTime=1980/03/22, price=55.66]
Point [id=32, type=LOW, dateTime=1980/03/23, price=55.53]
Point [id=34, type=HIGH, dateTime=1980/03/24, price=55.6]
Point [id=35, type=LOW, dateTime=1980/03/26, price=55.49]
Point [id=36, type=HIGH, dateTime=1980/03/27, price=55.64]
Point [id=37, type=LOW, dateTime=1980/03/30, price=55.45]
Point [id=38, type=HIGH, dateTime=1980/03/31, price=55.54]
Point [id=39, type=LOW, dateTime=1980/04/02, price=55.39]
Point [id=40, type=HIGH, dateTime=1980/04/11, price=55.7]
Point [id=41, type=LOW, dateTime=1980/04/12, price=55.66]
Point [id=43, type=LOW, dateTime=1980/04/15, price=55.59]
Point [id=42, type=HIGH, dateTime=1980/04/16, price=55.66]
Point [id=45, type=HIGH, dateTime=1980/04/20, price=55.76]
Point [id=44, type=LOW, dateTime=1980/04/21, price=55.72]
Point [id=46, type=HIGH, dateTime=1980/04/23, price=55.8]
Point [id=47, type=LOW, dateTime=1980/04/24, price=55.75]
Point [id=48, type=HIGH, dateTime=1980/04/25, price=55.78]
Point [id=50, type=HIGH, dateTime=1980/04/28, price=55.71]
Point [id=49, type=LOW, dateTime=1980/04/28, price=55.65]
Point [id=51, type=HIGH, dateTime=1980/05/02, price=55.8]
Point [id=52, type=LOW, dateTime=1980/05/05, price=55.74]
Point [id=53, type=HIGH, dateTime=1980/05/06, price=55.82]
Point [id=55, type=HIGH, dateTime=1980/05/10, price=55.87]
Point [id=54, type=LOW, dateTime=1980/05/11, price=55.83]
Point [id=57, type=LOW, dateTime=1980/05/13, price=55.84]
Point [id=56, type=HIGH, dateTime=1980/05/15, price=55.91]
Point [id=59, type=HIGH, dateTime=1980/05/17, price=55.91]
Point [id=58, type=LOW, dateTime=1980/05/18, price=55.85]
Point [id=60, type=HIGH, dateTime=1980/05/20, price=55.88]
Point [id=61, type=LOW, dateTime=1980/05/22, price=55.78]
Point [id=62, type=HIGH, dateTime=1980/05/23, price=55.84]
Point [id=64, type=HIGH, dateTime=1980/05/27, price=55.88]
Point [id=63, type=LOW, dateTime=1980/05/28, price=55.79]
Point [id=65, type=HIGH, dateTime=1980/05/29, price=55.86]
Point [id=66, type=LOW, dateTime=1980/06/02, price=55.77]
Point [id=67, type=HIGH, dateTime=1980/06/03, price=55.85]
Point [id=68, type=LOW, dateTime=1980/06/05, price=55.77]
Point [id=69, type=HIGH, dateTime=1980/06/10, price=55.93]
Point [id=70, type=LOW, dateTime=1980/06/13, price=55.81]
Point [id=72, type=LOW, dateTime=1980/06/15, price=55.82]
Point [id=71, type=HIGH, dateTime=1980/06/18, price=55.9]
Point [id=73, type=LOW, dateTime=1980/06/24, price=55.82]
Point [id=74, type=HIGH, dateTime=1980/06/27, price=55.88]
Point [id=75, type=LOW, dateTime=1980/06/29, price=55.86]
Point [id=76, type=HIGH, dateTime=1980/07/06, price=56.0]
Point [id=78, type=HIGH, dateTime=1980/07/11, price=56.01]
Point [id=77, type=LOW, dateTime=1980/07/12, price=55.98]
Point [id=79, type=HIGH, dateTime=1980/07/13, price=56.02]
Point [id=80, type=LOW, dateTime=1980/07/17, price=55.97]
Point [id=81, type=HIGH, dateTime=1980/07/19, price=56.02]
Point [id=82, type=LOW, dateTime=1980/07/23, price=55.95]
Point [id=83, type=HIGH, dateTime=1980/07/25, price=55.99]
Point [id=85, type=HIGH, dateTime=1980/07/27, price=56.0]
Point [id=84, type=LOW, dateTime=1980/07/29, price=55.98]
Point [id=86, type=HIGH, dateTime=1980/07/31, price=56.02]
Point [id=87, type=LOW, dateTime=1980/08/01, price=55.98]
Point [id=88, type=HIGH, dateTime=1980/08/06, price=56.1]
Point [id=89, type=LOW, dateTime=1980/08/07, price=56.07]
Point [id=90, type=HIGH, dateTime=1980/08/08, price=56.13]
Point [id=91, type=LOW, dateTime=1980/08/09, price=56.09]
Point [id=92, type=HIGH, dateTime=1980/08/10, price=56.13]
Point [id=93, type=LOW, dateTime=1980/08/13, price=56.08]
Point [id=94, type=HIGH, dateTime=1980/08/15, price=56.12]
Point [id=95, type=LOW, dateTime=1980/08/21, price=56.06]
Point [id=96, type=HIGH, dateTime=1980/08/24, price=56.1]
Point [id=97, type=LOW, dateTime=1980/08/28, price=55.98]
Point [id=98, type=HIGH, dateTime=1980/09/03, price=56.02]
Point [id=100, type=HIGH, dateTime=1980/09/06, price=55.98]
Point [id=99, type=LOW, dateTime=1980/09/06, price=55.94]
Point [id=101, type=HIGH, dateTime=1980/09/12, price=56.06]
Point [id=103, type=HIGH, dateTime=1980/09/16, price=56.0]
Point [id=102, type=LOW, dateTime=1980/09/17, price=55.94]
Point [id=104, type=HIGH, dateTime=1980/09/21, price=56.09]
Point [id=105, type=LOW, dateTime=1980/09/23, price=56.03]
Point [id=106, type=HIGH, dateTime=1980/09/24, price=56.07]
Point [id=107, type=LOW, dateTime=1980/09/25, price=56.04]
Point [id=108, type=HIGH, dateTime=1980/09/28, price=56.15]
Point [id=110, type=HIGH, dateTime=1980/10/02, price=56.17]
Point [id=109, type=LOW, dateTime=1980/10/03, price=56.11]
Point [id=112, type=LOW, dateTime=1980/10/05, price=56.11]
Point [id=111, type=HIGH, dateTime=1980/10/09, price=56.24]
Point [id=113, type=LOW, dateTime=1980/10/13, price=56.13]
Point [id=114, type=HIGH, dateTime=1980/10/14, price=56.19]
Point [id=115, type=LOW, dateTime=1980/10/15, price=56.11]
Point [id=116, type=HIGH, dateTime=1980/10/17, price=56.15]
Point [id=118, type=HIGH, dateTime=1980/10/20, price=56.13]
Point [id=117, type=LOW, dateTime=1980/10/22, price=56.05]
Point [id=119, type=HIGH, dateTime=1980/10/27, price=56.15]
Point [id=120, type=LOW, dateTime=1980/10/27, price=55.89]
Point [id=121, type=HIGH, dateTime=1980/11/01, price=56.19]
Point [id=123, type=HIGH, dateTime=1980/11/03, price=56.16]
Point [id=122, type=LOW, dateTime=1980/11/05, price=56.09]
Point [id=124, type=HIGH, dateTime=1980/11/07, price=56.17]
Point [id=125, type=LOW, dateTime=1980/11/09, price=56.13]
Point [id=126, type=HIGH, dateTime=1980/11/12, price=56.21]
Point [id=127, type=LOW, dateTime=1980/11/14, price=56.11]
Point [id=128, type=HIGH, dateTime=1980/11/18, price=56.18]
Point [id=130, type=HIGH, dateTime=1980/11/21, price=56.24]
Point [id=129, type=LOW, dateTime=1980/11/23, price=56.18]
Point [id=131, type=HIGH, dateTime=1980/11/24, price=56.22]
Point [id=132, type=LOW, dateTime=1980/11/25, price=56.18]
Point [id=133, type=HIGH, dateTime=1980/11/26, price=56.23]
Point [id=135, type=HIGH, dateTime=1980/11/30, price=56.28]
Point [id=134, type=LOW, dateTime=1980/12/02, price=56.23]
Point [id=136, type=HIGH, dateTime=1980/12/05, price=56.28]
Point [id=137, type=LOW, dateTime=1980/12/08, price=56.22]
Point [id=138, type=HIGH, dateTime=1980/12/10, price=56.27]
Point [id=139, type=LOW, dateTime=1980/12/16, price=56.12]
Point [id=140, type=HIGH, dateTime=1980/12/19, price=56.19]
Point [id=141, type=LOW, dateTime=1980/12/22, price=56.1]
Point [id=143, type=LOW, dateTime=1980/12/25, price=56.04]
Point [id=142, type=HIGH, dateTime=1981/01/01, price=56.22]
Point [id=144, type=LOW, dateTime=1981/01/02, price=56.14]
Point [id=145, type=HIGH, dateTime=1981/01/03, price=56.22]
Point [id=146, type=LOW, dateTime=1981/01/06, price=56.11]
Point [id=147, type=HIGH, dateTime=1981/01/10, price=56.24]
Point [id=148, type=LOW, dateTime=1981/01/13, price=56.13]
Point [id=149, type=HIGH, dateTime=1981/01/16, price=56.23]
Point [id=150, type=LOW, dateTime=1981/01/19, price=56.13]
Point [id=152, type=LOW, dateTime=1981/01/23, price=56.09]
